,test_balanced_accuracy,test_precision,test_recall,test_f1,test_hamming_loss,test_auc
TFIDF,"(0.4925031227978288, 0.028528835077282513)","(0.5866234501274155, 0.03101976783038054)","(0.6000000000000001, 0.02350233053668325)","(0.5697799706546471, 0.026628393183424495)","(0.4, 0.02350233053668325)","(0.8141753475700362, 0.008402848139722375)"
BoW,"(0.5546424747198694, 0.02513683434345676)","(0.605692421581957, 0.0212442845873325)","(0.615962441314554, 0.022348601381055218)","(0.6075481370108166, 0.021816342312996177)","(0.38403755868544603, 0.022348601381055235)","(0.8248825493036943, 0.010859608371653269)"
ngrams,"(0.4939761618459205, 0.008264264228969411)","(0.5506264791431399, 0.008774165999308838)","(0.5535211267605634, 0.0027375361008663357)","(0.5454450551384168, 0.005341136586044337)","(0.4464788732394366, 0.002737536100866334)","(0.7740218661681991, 0.010837549391549597)"
LSA,"(0.4477861100102564, 0.01728240813014052)","(0.5466882832035178, 0.02366330736944682)","(0.5629107981220657, 0.014652100032232123)","(0.5259288614290438, 0.01646436064337823)","(0.4370892018779343, 0.014652100032232142)","(0.7816481315224181, 0.008853486833083764)"
LDA,"(0.30247234566663694, 0.007749170519174173)","(0.37588782776959884, 0.03935276292324331)","(0.4755868544600939, 0.005672791536898847)","(0.3593294202728023, 0.009267609823489044)","(0.5244131455399061, 0.005672791536898863)","(0.6432277298620728, 0.0038674068944227957)"
dependency Parsing,"(0.42996569925643546, 0.021387322191501745)","(0.5010214289142481, 0.020316991716372888)","(0.5352112676056338, 0.012942768781305366)","(0.494485566190798, 0.020637941775110906)","(0.4647887323943662, 0.012942768781305366)","(0.7463396269585265, 0.016029740975202333)"
word2vec,"(0.4798552656604337, 0.02580628794755542)","(0.5704090320298812, 0.03135195840688434)","(0.5854460093896714, 0.023314007545418104)","(0.5548815667043435, 0.024449971796968624)","(0.4145539906103286, 0.023314007545418094)","(0.7977042032693229, 0.014774725295313006)"
GloVe,"(0.47976387167879897, 0.01583875713762537)","(0.5590765641937786, 0.006537178146329665)","(0.5784037558685446, 0.010242922173366871)","(0.5522230847006526, 0.012214115445592722)","(0.4215962441314554, 0.010242922173366871)","(0.7996336249917355, 0.014479057070073735)"
FastText,"(0.4171590007237196, 0.017086353884738063)","(0.5329383403160816, 0.016159849218693966)","(0.5464788732394366, 0.015809819944115237)","(0.49215480688492363, 0.015941798582661315)","(0.4535211267605634, 0.015809819944115247)","(0.7888594367323822, 0.01875651530689444)"
BERT,"(0.5616220252311093, 0.0330008940659632)","(0.6178211018765136, 0.023989848848984516)","(0.6230046948356808, 0.024602014096852386)","(0.6179091378920333, 0.026048958800902484)","(0.3769953051643192, 0.02460201409685241)","(0.8297414772364865, 0.00820406601781916)"
RoBERTa,"(0.5474612136660693, 0.0244720726837662)","(0.6087965853753704, 0.02131509710609484)","(0.6225352112676056, 0.021432323400025037)","(0.6106902301116306, 0.02295476867950252)","(0.3774647887323944, 0.021432323400025023)","(0.8436640490647452, 0.011002295918465476)"
ClinicalBERT,"(0.532297420202442, 0.025151351708776953)","(0.5903067992386084, 0.02231516721207744)","(0.6014084507042253, 0.022338736626047535)","(0.5925389322394479, 0.02266909217812249)","(0.39859154929577467, 0.022338736626047538)","(0.814074432762222, 0.012872168679498195)"
MentalBERT,"(0.5572028428390289, 0.021002994670252777)","(0.6161059241937299, 0.012233183428405266)","(0.6244131455399061, 0.01120876655991862)","(0.6175327233865386, 0.012831256912550213)","(0.3755868544600939, 0.011208766559918612)","(0.8344238574713245, 0.009746123970900649)"
