,test_balanced_accuracy,test_precision,test_recall,test_f1,test_hamming_loss,test_auc
TFIDF,"(0.4619174710755039, 0.021724447501822116)","(0.5633551463577031, 0.051282322885049025)","(0.5644077247241645, 0.06216020389130335)","(0.5364778543554805, 0.06866496856661737)","(0.43559227527583566, 0.06216020389130335)","(0.7910584644311762, 0.030421745017673363)"
BoW,"(0.5141634697485127, 0.03248406206521652)","(0.5804911466250888, 0.0603325348029155)","(0.5788740679901592, 0.05190608404049537)","(0.5726774376046293, 0.058339332806377736)","(0.42112593200984083, 0.05190608404049539)","(0.8013458686841035, 0.03137260421360945)"
ngrams,"(0.43647020992645835, 0.02370673533588499)","(0.5275897915912864, 0.06766556642183512)","(0.5014239695668637, 0.0479950873202546)","(0.49786040196305903, 0.06113114745670809)","(0.49857603043313625, 0.0479950873202546)","(0.7596394468146535, 0.042327993883606696)"
LSA,"(0.4364667776009645, 0.02916576452312849)","(0.5401323972840778, 0.058698301762704734)","(0.5442712525614077, 0.07041747688066129)","(0.5098463993327751, 0.07993272111777171)","(0.45572874743859215, 0.07041747688066129)","(0.7689226369447668, 0.02944022648832534)"
LDA,"(0.28082984972337605, 0.023858081069636317)","(0.36986928815656556, 0.06015932678759611)","(0.46263529723187224, 0.07844747287421591)","(0.3447925668464686, 0.0867015499829891)","(0.5373647027681278, 0.0784474728742159)","(0.6299224240070782, 0.04034401823202616)"
dependency Parsing,"(0.40315880261502646, 0.02250622873572576)","(0.4951430886590297, 0.06660248388478)","(0.5104223947312727, 0.07478398609967714)","(0.4763543951021897, 0.08586282415955865)","(0.4895776052687273, 0.07478398609967714)","(0.7251398818522924, 0.025057125929549427)"
word2vec,"(0.445811975680915, 0.02243209756572469)","(0.5574942078049887, 0.056817319680586016)","(0.5549453705919418, 0.05861948906500051)","(0.5265522408865546, 0.063095748210287)","(0.4450546294080581, 0.058619489065000495)","(0.7754180360067313, 0.03343974709524591)"
GloVe,"(0.45157308184707434, 0.02724526807079791)","(0.5594674389376112, 0.06428729600280329)","(0.5563571255296027, 0.06245515343615075)","(0.5319789965514652, 0.0697737407142821)","(0.44364287447039735, 0.06245515343615072)","(0.7784835802979995, 0.03463674514150966)"
FastText,"(0.3992658268605081, 0.0250268914646727)","(0.5431180410224883, 0.052250884988403114)","(0.5334397683838596, 0.07738758132544792)","(0.4803530759943615, 0.09140669370236942)","(0.46656023161614046, 0.07738758132544793)","(0.7752232466622175, 0.04072440241936619)"
BERT,"(0.5220268255449063, 0.017123368196189436)","(0.5992332621115706, 0.05371867987870965)","(0.5915163948114979, 0.03712370291074912)","(0.5895197669461746, 0.045078895330205884)","(0.4084836051885021, 0.03712370291074912)","(0.8097712832377159, 0.024476462557990672)"
RoBERTa,"(0.5097866768971917, 0.03351846119141828)","(0.5938699796421341, 0.046655467710586034)","(0.5966874922250154, 0.04012573769357019)","(0.5883256558721341, 0.04445263765782512)","(0.40331250777498456, 0.040125737693570175)","(0.8203456425645914, 0.028830879372710495)"
ClinicalBERT,"(0.5147575487061552, 0.02742544952314438)","(0.5871877431813152, 0.05404645476887726)","(0.5835239674802362, 0.04536361133937796)","(0.5770430321002202, 0.050518327700159474)","(0.4164760325197638, 0.045363611339377975)","(0.7977798007379377, 0.024087100017949694)"
MentalBERT,"(0.5234158467662273, 0.034158013206357564)","(0.5994066005899847, 0.04562591213255808)","(0.5985565993609601, 0.03724787693795942)","(0.5927347013278175, 0.04232472878718381)","(0.40144340063904, 0.03724787693795942)","(0.8128133388281631, 0.03013400852378067)"
