,test_balanced_accuracy,test_precision,test_recall,test_f1,test_hamming_loss,test_auc
TFIDF,"(0.49918377606809133, 0.03662207984893576)","(0.5930154285387135, 0.03845608989413338)","(0.6051643192488263, 0.020753085544882983)","(0.5743158420739872, 0.035007114391603665)","(0.3948356807511737, 0.02075308554488295)","(0.819811412203056, 0.011747168810255722)"
BoW,"(0.5241997136410969, 0.03670763435531917)","(0.6047734184636318, 0.01596721260459505)","(0.6112676056338028, 0.01575395468127935)","(0.590872408597828, 0.02735042038161424)","(0.3887323943661972, 0.015753954681279374)","(0.8286570403940576, 0.01046048742581776)"
ngrams,"(0.4581801485948809, 0.05255520424162729)","(0.5381916752254323, 0.013923987471273668)","(0.5375586854460094, 0.022759060363456922)","(0.5170901882174794, 0.04680947849351659)","(0.4624413145539906, 0.022759060363456946)","(0.7674761419005833, 0.018723500739936012)"
LSA,"(0.4592789249385554, 0.02081218230332886)","(0.5532440369647376, 0.019466954812347927)","(0.5647887323943662, 0.018097967387226653)","(0.5349003288197111, 0.0193750420001702)","(0.4352112676056338, 0.018097967387226653)","(0.7796825584691074, 0.010273621249533592)"
LDA,"(0.29768527335976713, 0.013139213283123305)","(0.33999484645538325, 0.05965578731885362)","(0.4718309859154929, 0.015851589686510924)","(0.34990835074891286, 0.01325035483934025)","(0.528169014084507, 0.01585158968651094)","(0.6291455925574544, 0.03188876289549788)"
dependency Parsing,"(0.4151555433334825, 0.03321795192571982)","(0.5032196207697192, 0.011451340542143964)","(0.5333333333333334, 0.01587937514111527)","(0.4883803404099238, 0.02611770781299958)","(0.4666666666666666, 0.015879375141115277)","(0.749315981207701, 0.01646217943514591)"
word2vec,"(0.4793823682227063, 0.03158565695402173)","(0.5640392241972375, 0.024320573969308527)","(0.5816901408450704, 0.023865286435941463)","(0.5537827615372624, 0.028596003599756007)","(0.4183098591549296, 0.02386528643594147)","(0.7961287782787212, 0.021210952469788835)"
GloVe,"(0.418470916134784, 0.05117625275074853)","(0.5136521907001849, 0.03911206227819761)","(0.5436619718309859, 0.034391073374295665)","(0.4883063371321306, 0.04604282403947889)","(0.4563380281690141, 0.03439107337429566)","(0.7690846506119016, 0.028330461912498703)"
FastText,"(0.5125843774875437, 0.041221683837787765)","(0.5843722540018709, 0.034021127468657854)","(0.6004694835680752, 0.03501982384783383)","(0.5773144237956009, 0.03747063910543418)","(0.3995305164319249, 0.03501982384783383)","(0.8065848061386209, 0.025477817676879712)"
BERT,"(0.574282275411051, 0.019117698022815852)","(0.6309487584604886, 0.014184895299598283)","(0.639906103286385, 0.011169368313023783)","(0.6290049225252788, 0.015292586362456012)","(0.360093896713615, 0.011169368313023774)","(0.8435537671805278, 0.007399188344173314)"
RoBERTa,"(0.536505020723959, 0.03888758601330388)","(0.6076488921510929, 0.02738914018741649)","(0.6206572769953052, 0.029379319900773727)","(0.6031811487673295, 0.0331284551335584)","(0.37934272300469485, 0.029379319900773745)","(0.8339304785596239, 0.019879916936944016)"
ClinicalBERT,"(0.530928280896078, 0.03955302592677987)","(0.5957712576841273, 0.027150050840314893)","(0.6065727699530516, 0.029304200064464294)","(0.5907451558440785, 0.030847967249829585)","(0.3934272300469483, 0.029304200064464277)","(0.8239196921852544, 0.011800831185817508)"
MentalBERT,"(0.5652045313903544, 0.026197676264117474)","(0.6268836523337644, 0.016934668641119897)","(0.631924882629108, 0.01675734112448333)","(0.624903229399539, 0.01922266896167474)","(0.368075117370892, 0.016757341124483335)","(0.8455746160179884, 0.009966187480472611)"
