,test_balanced_accuracy,test_precision,test_recall,test_f1,test_hamming_loss,test_auc
TFIDF,"(0.4712700922531951, 0.02103492404319743)","(0.563570147655575, 0.054406417163380086)","(0.566768434320666, 0.0509382634628989)","(0.5441538897035393, 0.05335795151337179)","(0.433231565679334, 0.05093826346289888)","(0.7907189269255916, 0.027877865707203853)"
BoW,"(0.4893414621459762, 0.007087094197058395)","(0.5744781923917757, 0.04351889799389703)","(0.5751852388244352, 0.04333362103400708)","(0.5609417022378507, 0.046009864824213174)","(0.4248147611755648, 0.043333621034007064)","(0.8058831716686983, 0.030265381338375398)"
ngrams,"(0.44322390562755487, 0.03490893521427836)","(0.5228821327938247, 0.06798236944388523)","(0.521099883281841, 0.059679335420976365)","(0.5091781700926388, 0.06850811157768044)","(0.478900116718159, 0.05967933542097637)","(0.7576373668052818, 0.042361931632717044)"
LSA,"(0.44958257399711093, 0.016428886360521488)","(0.545542688523901, 0.051869733767684785)","(0.5517732788508354, 0.05760168258553289)","(0.5251331548857641, 0.055474242733478084)","(0.44822672114916456, 0.05760168258553287)","(0.7665466673502458, 0.026141733844951425)"
LDA,"(0.2756995146422137, 0.01673209725666343)","(0.36454891166678954, 0.046193356302136834)","(0.46261106662621077, 0.08307774686365502)","(0.33128890976963665, 0.07792673174380568)","(0.5373889333737892, 0.083077746863655)","(0.596553586729323, 0.062412808277440036)"
dependency Parsing,"(0.3824989568624386, 0.027759443077243266)","(0.4948958804997707, 0.05706995139888663)","(0.5108566880752717, 0.06054462253831062)","(0.46289093223119143, 0.061750790646467685)","(0.48914331192472815, 0.06054462253831058)","(0.7246397402630093, 0.027988506202972916)"
word2vec,"(0.43345322243998485, 0.045255051537311596)","(0.547379533660334, 0.056598706107469025)","(0.5492553785968061, 0.060561423732732315)","(0.5167577324746159, 0.06849318666019953)","(0.45074462140319393, 0.06056142373273231)","(0.7737846617833826, 0.03544601857929941)"
GloVe,"(0.41106424111219786, 0.03207611325816096)","(0.5190697929451455, 0.07019522579473178)","(0.5249459552103344, 0.07457953451438191)","(0.48288373037697935, 0.09296395703540862)","(0.4750540447896657, 0.07457953451438194)","(0.762527208770772, 0.03676195845794086)"
FastText,"(0.4357232182944825, 0.047119205015638085)","(0.5462202615029261, 0.06490385396318571)","(0.5404513230778129, 0.07618305265699829)","(0.5001472970149574, 0.09894505820159873)","(0.45954867692218715, 0.07618305265699829)","(0.7787045734300169, 0.04879284635871291)"
BERT,"(0.509480128631784, 0.027163881122453857)","(0.5901222902077585, 0.0602006592359099)","(0.5925159396220419, 0.049939329814332446)","(0.5794784954505282, 0.061264485099612256)","(0.4074840603779581, 0.04993932981433243)","(0.8213232884684931, 0.03200697336097311)"
RoBERTa,"(0.4986933122351436, 0.03880941453681463)","(0.5931342926465477, 0.06552911582484269)","(0.5887356241698976, 0.06039952951099819)","(0.574872403299135, 0.06882146187620534)","(0.4112643758301024, 0.06039952951099821)","(0.8195332498560488, 0.034347939937930574)"
ClinicalBERT,"(0.4914428460633883, 0.048467597147503906)","(0.575834887531134, 0.0656350534062179)","(0.5756392118225075, 0.06854005793110474)","(0.5588372491149164, 0.07273418071076052)","(0.42436078817749234, 0.06854005793110474)","(0.8053998387919954, 0.029301881166179156)"
MentalBERT,"(0.5247003959441898, 0.038467404697216365)","(0.6132554649358566, 0.04560913766622457)","(0.6121707251330515, 0.04348885440065059)","(0.6037235718877074, 0.04630752016237435)","(0.38782927486694846, 0.04348885440065059)","(0.8265949383924305, 0.03190013573939601)"
