,test_balanced_accuracy,test_precision,test_recall,test_f1,test_hamming_loss,test_auc
TFIDF,"(0.45352002083422926, 0.015101172293919081)","(0.549500660865168, 0.01266191322706551)","(0.4342723004694836, 0.019070512686938875)","(0.44554827971917976, 0.01839952703578809)","(0.5657276995305164, 0.019070512686938858)","(0.6531465424928296, 0.013736134810180602)"
BoW,"(0.4520275376169067, 0.006967268845796652)","(0.5545202942482745, 0.01520372483954668)","(0.4314553990610329, 0.011442307612163327)","(0.44092266514347156, 0.010135201713202905)","(0.5685446009389672, 0.011442307612163322)","(0.6552563100270117, 0.012991094309278209)"
ngrams,"(0.4850905083569647, 0.026239252225404748)","(0.5416826397647363, 0.02850679659193628)","(0.5375586854460095, 0.026805826147643555)","(0.5331565193159065, 0.025554673020032552)","(0.4624413145539906, 0.02680582614764355)","(0.6763298242764739, 0.019594116487915706)"
LSA,"(0.4362853955029199, 0.021392171408752405)","(0.4761246483497361, 0.021826787483161043)","(0.4549295774647887, 0.01943684652064266)","(0.4580051868137714, 0.021356110456706774)","(0.5450704225352112, 0.019436846520642686)","(0.6974954855234539, 0.018864530088015842)"
LDA,"(0.36139510724024004, 0.024372235899873498)","(0.40694834937141894, 0.02492132785408722)","(0.39295774647887327, 0.058007349988534795)","(0.37812991554829584, 0.05275976014723562)","(0.6070422535211268, 0.05800734998853481)","(0.6286951461309418, 0.009681673891729026)"
dependency Parsing,"(0.337880076177667, 0.019037024871149295)","(0.4566170638652631, 0.0421368692919263)","(0.24694835680751176, 0.01915124699940952)","(0.18397993542483743, 0.032356622399400035)","(0.7530516431924883, 0.019151246999409507)","(0.6404632972587446, 0.019765589969775562)"
word2vec,"(0.4247911369034346, 0.026682507773633648)","(0.47792153785511216, 0.02218831429922174)","(0.5075117370892019, 0.02573181146675065)","(0.4798236232028595, 0.019935225875560448)","(0.4924882629107981, 0.025731811466750652)","(0.7055330204962418, 0.016520731690338627)"
GloVe,"(0.45775829627461173, 0.042857507733190504)","(0.4927625175228275, 0.0379988123961795)","(0.512206572769953, 0.04056077195578435)","(0.4924965148062704, 0.03662061336852873)","(0.487793427230047, 0.04056077195578435)","(0.7375591238218367, 0.02807814753989332)"
FastText,"(0.4487022331114483, 0.02699082940934101)","(0.4983218157219399, 0.02708872042716127)","(0.5234741784037558, 0.025195132140842697)","(0.49734924576136547, 0.020518850674231107)","(0.4765258215962441, 0.025195132140842694)","(0.7285777315724409, 0.025048130875035022)"
BERT,"(0.5210359535355833, 0.004102857697651117)","(0.5734383720420657, 0.007156185311514736)","(0.5699530516431925, 0.005434665212577571)","(0.5690883200361381, 0.005693375147798331)","(0.4300469483568075, 0.0054346652125775614)","(0.7940999379986795, 0.01027895839990555)"
RoBERTa,"(0.5217375496335853, 0.028859821722107343)","(0.5702844802310515, 0.02806106634272136)","(0.556338028169014, 0.026223924964824313)","(0.5564133521569233, 0.02534704593791694)","(0.4436619718309859, 0.026223924964824306)","(0.7872411219034928, 0.024321889725698355)"
ClinicalBERT,"(0.50342211026844, 0.03433275808210275)","(0.5419493860257362, 0.03217357879294242)","(0.5338028169014085, 0.033017748305196715)","(0.5259996889016293, 0.030596579169168758)","(0.4661971830985916, 0.0330177483051967)","(0.7671086762955488, 0.021086107834528203)"
MentalBERT,"(0.5142770868252222, 0.03894972275611617)","(0.5640320756985425, 0.042316016183565994)","(0.5582159624413146, 0.03396544084072472)","(0.5543596025684361, 0.03477955200745113)","(0.4417840375586854, 0.03396544084072474)","(0.78454077420881, 0.022755835451931553)"
