,test_balanced_accuracy,test_precision,test_recall,test_f1,test_hamming_loss,test_auc
TFIDF,"(0.5096978536907594, 0.01627208872312732)","(0.5930216818963354, 0.013331534068162074)","(0.6061032863849765, 0.01124802680817931)","(0.5831869206133442, 0.013565265810350374)","(0.3938967136150235, 0.011248026808179276)","(0.811813202290687, 0.009473082383758795)"
BoW,"(0.5362902543402857, 0.018431987764197827)","(0.5893786011212502, 0.01622030450576198)","(0.5985915492957746, 0.018061393485137436)","(0.5907124162339175, 0.017170006989540364)","(0.4014084507042254, 0.018061393485137422)","(0.8156094478363274, 0.009797443299036574)"
ngrams,"(0.4746920438423877, 0.0178221126072488)","(0.5440259153171558, 0.021327676348425504)","(0.4957746478873239, 0.014115771247298509)","(0.5028525911672992, 0.015250561356482693)","(0.504225352112676, 0.014115771247298514)","(0.7584511349807792, 0.013961759966277158)"
LSA,"(0.4552850967067599, 0.029653800297164322)","(0.5640403878422181, 0.030302096834313695)","(0.572300469483568, 0.020431976663839377)","(0.5330834873703741, 0.026981768668385586)","(0.4276995305164319, 0.02043197666383939)","(0.780620439665599, 0.006740313112315465)"
LDA,"(0.2833494615472195, 0.019715920328794375)","(0.3094802802573216, 0.03954432909993416)","(0.4661971830985915, 0.009575623499704753)","(0.3296178126797469, 0.020931613523771854)","(0.5338028169014084, 0.00957562349970475)","(0.616958043615385, 0.02390546852686896)"
dependency Parsing,"(0.4224593501555013, 0.017278546841221033)","(0.5205091610584427, 0.023733737940460558)","(0.5431924882629108, 0.008345722457573332)","(0.4932699208321572, 0.015498016031899866)","(0.4568075117370892, 0.008345722457573314)","(0.7470080498589013, 0.01651704005789892)"
word2vec,"(0.479097442300807, 0.0237879975900608)","(0.569166298438847, 0.02694858126025337)","(0.5849765258215962, 0.0186261356102135)","(0.5539901271250264, 0.023542984847281557)","(0.4150234741784038, 0.018626135610213486)","(0.7968589455536627, 0.012128417873421641)"
GloVe,"(0.48444111175001325, 0.01982101366878624)","(0.5679622035687751, 0.010397745752264457)","(0.5859154929577464, 0.01503813838314267)","(0.5580187462113215, 0.016731943999617905)","(0.4140845070422535, 0.015038138383142696)","(0.8010169009439914, 0.013901861382857041)"
FastText,"(0.38521140399756537, 0.015020961079118817)","(0.5312726405804078, 0.018506145670059773)","(0.5328638497652582, 0.012332324447477639)","(0.4584132312755821, 0.015668724049347)","(0.4671361502347418, 0.012332324447477637)","(0.7938257570096953, 0.01842482870030436)"
BERT,"(0.524328637093683, 0.02079841771038616)","(0.5835980018844718, 0.013643051083721193)","(0.5938967136150236, 0.012857337030637725)","(0.5848946904641934, 0.014744991850574395)","(0.4061032863849766, 0.012857337030637708)","(0.8193847024222837, 0.00776172366520589)"
RoBERTa,"(0.5477000089509091, 0.01483143463836718)","(0.6075074903689546, 0.017612388303385604)","(0.6197183098591549, 0.015357208670231097)","(0.6095237399213727, 0.015513386193315595)","(0.38028169014084506, 0.015357208670231095)","(0.8400598094112584, 0.011789537955097053)"
ClinicalBERT,"(0.5131234096482378, 0.03468954732382225)","(0.5712577483861081, 0.02905609951331984)","(0.5845070422535211, 0.026391491685549648)","(0.5743138904328609, 0.028955592804951732)","(0.4154929577464789, 0.02639149168554967)","(0.8097220054910135, 0.014210647935591335)"
MentalBERT,"(0.5459430778099981, 0.026986260025697848)","(0.6034107608056622, 0.0168891287573469)","(0.6131455399061033, 0.01790204315956584)","(0.6045821122782954, 0.01929313638911318)","(0.3868544600938967, 0.01790204315956584)","(0.83006100707892, 0.011640233776842082)"
