,test_balanced_accuracy,test_precision,test_recall,test_f1,test_hamming_loss,test_auc
TFIDF,"(0.4643369414507915, 0.03241735691899943)","(0.5607766776360436, 0.05959423717297235)","(0.5601274014260105, 0.06426257195628156)","(0.5374827766415489, 0.06999521469308186)","(0.4398725985739896, 0.06426257195628156)","(0.789781306078094, 0.03157077874330173)"
BoW,"(0.490445534349549, 0.02101417229468248)","(0.556356369951225, 0.05420364256775695)","(0.5525900649255489, 0.042083731817883135)","(0.5482781440188891, 0.04920259295112042)","(0.44740993507445115, 0.04208373181788314)","(0.7935487835290707, 0.03145031542700586)"
ngrams,"(0.4291673187100683, 0.028455369064697637)","(0.5300409230853326, 0.07686743202540522)","(0.4544524552727277, 0.04351874882498624)","(0.4688526324552199, 0.05762916996386432)","(0.5455475447272723, 0.043518748824986256)","(0.7448471211979056, 0.04393918904766677)"
LSA,"(0.43735813410927105, 0.025681005255329722)","(0.5533237830898401, 0.04598493984944958)","(0.5480316017927395, 0.06942814806057615)","(0.5100451618263133, 0.08055803319036973)","(0.45196839820726054, 0.06942814806057616)","(0.7658172755209395, 0.034545138250755184)"
LDA,"(0.26859784364379125, 0.01234835536711196)","(0.2881345989113727, 0.09020280364108672)","(0.4574498756159632, 0.08561428633545444)","(0.3175166520657219, 0.08829435804430028)","(0.5425501243840369, 0.08561428633545443)","(0.6200819450063365, 0.03228798765760227)"
dependency Parsing,"(0.3738381910237491, 0.04458055768693392)","(0.4846431800087044, 0.08014864902288452)","(0.495375531639693, 0.0870611452609935)","(0.4436622972970283, 0.10639253732186005)","(0.5046244683603069, 0.08706114526099352)","(0.7263883725089306, 0.029699678544341464)"
word2vec,"(0.4582856293572931, 0.026611245537681395)","(0.5695874892468804, 0.05838724410475173)","(0.5643605998974385, 0.06402447519070299)","(0.5338447501507211, 0.07243356108301194)","(0.4356394001025615, 0.06402447519070298)","(0.7780163486783205, 0.03578882641384781)"
GloVe,"(0.4424084746718355, 0.03665123929055614)","(0.5499682380211723, 0.06936272446229001)","(0.5488616546598539, 0.06888046048750611)","(0.5191043785649737, 0.07997268706780832)","(0.4511383453401461, 0.0688804604875061)","(0.7816003051880461, 0.034260193849336526)"
FastText,"(0.37196807838739593, 0.03540619981464698)","(0.5585701726709597, 0.059190783546244824)","(0.5226799392377929, 0.09754328328354363)","(0.44755192753192546, 0.11704122402968091)","(0.4773200607622071, 0.09754328328354363)","(0.7797588665719578, 0.04572355396835338)"
BERT,"(0.49329291694987676, 0.028552920743572678)","(0.5677110156726168, 0.05145203801195683)","(0.5681195704071532, 0.03885561242710098)","(0.5599937497582304, 0.04521651404052236)","(0.4318804295928468, 0.03885561242710096)","(0.8029891976422219, 0.020853590840853076)"
RoBERTa,"(0.5044092167409738, 0.024556350838000347)","(0.5842752120162459, 0.04083519406498874)","(0.5872931642541215, 0.03319944920180365)","(0.5786882061530535, 0.038415837221621583)","(0.4127068357458786, 0.03319944920180364)","(0.8239549272340477, 0.028712744990858997)"
ClinicalBERT,"(0.49803332047864257, 0.02046392192415737)","(0.5710652362738995, 0.05958379365739283)","(0.5642943596523315, 0.04346857693116721)","(0.5588089827565752, 0.05084015878861855)","(0.4357056403476685, 0.043468576931167215)","(0.7975600173585041, 0.024890869441787346)"
MentalBERT,"(0.5168102468685908, 0.032109608109240295)","(0.589418314159328, 0.05217410773680193)","(0.5854458624484972, 0.04296831203907709)","(0.5797172114452458, 0.04942959704728377)","(0.41455413755150294, 0.04296831203907711)","(0.8107048828643577, 0.030264559185389072)"
