,,mean,std
LR with TF-IDF,balanced_accuracy,0.4991849430941242,0.024045292030541295
LR with TF-IDF,precision,0.5932613594157902,0.024933163305053022
LR with TF-IDF,recall,0.604225352112676,0.02164721480450425
LR with TF-IDF,f1,0.576226189088285,0.023127107198724954
LR with TF-IDF,hamming_loss,0.39577464788732397,0.02164721480450423
LR with TF-IDF,auc,0.8123858079468219,0.0
LR with BoW,balanced_accuracy,0.5582827917276015,0.00609583207284439
LR with BoW,precision,0.6082760394361469,0.006817361670275162
LR with BoW,recall,0.6197183098591549,0.006639500292831441
LR with BoW,f1,0.6106759614481032,0.006189909960422078
LR with BoW,hamming_loss,0.3802816901408451,0.006639500292831433
LR with BoW,auc,0.8228893347644878,0.0
LR with Word2Vec,balanced_accuracy,0.4843859447767696,0.032914386399459844
LR with Word2Vec,precision,0.5756107156509278,0.03531475502395451
LR with Word2Vec,recall,0.5896713615023474,0.029221345201118177
LR with Word2Vec,f1,0.5605612499320347,0.031879845806187426
LR with Word2Vec,hamming_loss,0.4103286384976526,0.02922134520111819
LR with Word2Vec,auc,0.7983984915960946,0.0
LR with GloVe,balanced_accuracy,0.4956381527431083,0.017137788531516287
LR with GloVe,precision,0.5771192399371287,0.012289314085288463
LR with GloVe,recall,0.5943661971830986,0.014115771247298525
LR with GloVe,f1,0.5698590701649511,0.016261903479710474
LR with GloVe,hamming_loss,0.4056338028169014,0.014115771247298509
LR with GloVe,auc,0.8009399733644246,0.0
LR with FastText,balanced_accuracy,0.4222297182622853,0.022088573049145396
LR with FastText,precision,0.5420870600967926,0.024052844429170037
LR with FastText,recall,0.5511737089201878,0.018387939931986983
LR with FastText,f1,0.4970054869792957,0.020803102937961983
LR with FastText,hamming_loss,0.4488262910798122,0.018387939931986983
LR with FastText,auc,0.7900400748521871,0.0
"LR with N-grams (2,4)",balanced_accuracy,0.49221630014116063,0.025586910880696284
"LR with N-grams (2,4)",precision,0.5501563160864152,0.02582769264147665
"LR with N-grams (2,4)",recall,0.5530516431924882,0.024467256752667393
"LR with N-grams (2,4)",f1,0.5448135508013314,0.024243319713013793
"LR with N-grams (2,4)",hamming_loss,0.44694835680751177,0.02446725675266739
"LR with N-grams (2,4)",auc,0.7740191088776831,0.0
LR with LSA,balanced_accuracy,0.4527654066461184,0.026077610623149595
LR with LSA,precision,0.5485905807863303,0.021797204148537544
LR with LSA,recall,0.5633802816901408,0.01947083695148141
LR with LSA,f1,0.5296683150444491,0.022625210426671753
LR with LSA,hamming_loss,0.4366197183098592,0.01947083695148142
LR with LSA,auc,0.7818202380798567,0.0
LR with LDA,balanced_accuracy,0.2601885280846872,0.00441783567387549
LR with LDA,precision,0.31876330023850197,0.014987187535403781
LR with LDA,recall,0.4474178403755869,0.003184192480340492
LR with LDA,f1,0.30738659873757246,0.0076502299041321985
LR with LDA,hamming_loss,0.5525821596244131,0.003184192480340508
LR with LDA,auc,0.5819069498933245,0.0
LR with BERT,balanced_accuracy,0.549399230670654,0.01729416558302319
LR with BERT,precision,0.6065082218224582,0.012314396669364734
LR with BERT,recall,0.6126760563380282,0.014920421203822268
LR with BERT,f1,0.6073449018663376,0.013131937150161093
LR with BERT,hamming_loss,0.38732394366197187,0.014920421203822249
LR with BERT,auc,0.825727610594143,0.0
LR with RoBERTa,balanced_accuracy,0.5574058353647426,0.015054427826723763
LR with RoBERTa,precision,0.617549693238763,0.013229071650768809
LR with RoBERTa,recall,0.6295774647887324,0.010849032871635075
LR with RoBERTa,f1,0.6199474160008154,0.011697166319726131
LR with RoBERTa,hamming_loss,0.37042253521126756,0.010849032871635054
LR with RoBERTa,auc,0.8459819590737803,0.0
LR with Dependency Parsing,balanced_accuracy,0.4247498330801368,0.02052216820471069
LR with Dependency Parsing,precision,0.4913282725068919,0.03256648325391286
LR with Dependency Parsing,recall,0.523943661971831,0.01802474537131686
LR with Dependency Parsing,f1,0.4857888282477334,0.020113086343316995
LR with Dependency Parsing,hamming_loss,0.476056338028169,0.018024745371316875
LR with Dependency Parsing,auc,0.7382462596606062,0.0
