,,mean,std
MLP with TF-IDF,balanced_accuracy,0.47152921112845136,0.014793090908326988
MLP with TF-IDF,precision,0.5302251509456413,0.01267658202449686
MLP with TF-IDF,recall,0.5384976525821596,0.013815905135739133
MLP with TF-IDF,f1,0.532620170507024,0.013061833561170796
MLP with TF-IDF,hamming_loss,0.4615023474178404,0.013815905135739118
MLP with TF-IDF,auc,0.752742923487982,0.0
MLP with BoW,balanced_accuracy,0.48927026866044754,0.015190425584694226
MLP with BoW,precision,0.5472060691551813,0.01618996839241682
MLP with BoW,recall,0.5539906103286386,0.015500069501614247
MLP with BoW,f1,0.5493272991591567,0.01563090976782199
MLP with BoW,hamming_loss,0.4460093896713615,0.015500069501614254
MLP with BoW,auc,0.7643672232466152,0.0
MLP with Word2Vec,balanced_accuracy,0.5116651754102974,0.04608348165065138
MLP with Word2Vec,precision,0.5750082315188184,0.041816075619319555
MLP with Word2Vec,recall,0.5896713615023474,0.040260782299564965
MLP with Word2Vec,f1,0.5762527784017191,0.041446773952099905
MLP with Word2Vec,hamming_loss,0.4103286384976526,0.04026078229956495
MLP with Word2Vec,auc,0.7928796277087155,0.0
MLP with GloVe,balanced_accuracy,0.4896078071709674,0.02584961534922291
MLP with GloVe,precision,0.5584625434110205,0.021089434660307885
MLP with GloVe,recall,0.576056338028169,0.01845972136275821
MLP with GloVe,f1,0.5593400458897818,0.02252472595865013
MLP with GloVe,hamming_loss,0.423943661971831,0.01845972136275821
MLP with GloVe,auc,0.7981727597794445,0.0
MLP with FastText,balanced_accuracy,0.5340195880930521,0.020714139323683867
MLP with FastText,precision,0.5951134514018892,0.018527901028275773
MLP with FastText,recall,0.6089201877934273,0.019334516696689202
MLP with FastText,f1,0.595971285258457,0.017999993254398317
MLP with FastText,hamming_loss,0.39107981220657273,0.019334516696689202
MLP with FastText,auc,0.8134505479150171,0.0
"MLP with N-grams (2,4)",balanced_accuracy,0.2776956540408608,0.053975476126149134
"MLP with N-grams (2,4)",precision,0.4353768522532519,0.07106043808366
"MLP with N-grams (2,4)",recall,0.2431924882629108,0.024646769480575932
"MLP with N-grams (2,4)",f1,0.24303464323368,0.025500223847356635
"MLP with N-grams (2,4)",hamming_loss,0.7568075117370892,0.024646769480575932
"MLP with N-grams (2,4)",auc,0.4786242458119778,0.0
MLP with LSA,balanced_accuracy,0.49861897485695905,0.030982038044266167
MLP with LSA,precision,0.5586364320198479,0.026907365948025227
MLP with LSA,recall,0.5718309859154929,0.02433175308892006
MLP with LSA,f1,0.5596145973264308,0.026608185525879204
MLP with LSA,hamming_loss,0.428169014084507,0.02433175308892008
MLP with LSA,auc,0.7729885821688594,0.0
MLP with LDA,balanced_accuracy,0.2607233610665597,0.009769663592211384
MLP with LDA,precision,0.2774755761055602,0.04464759752845406
MLP with LDA,recall,0.4544600938967137,0.0045999807376209895
MLP with LDA,f1,0.3023702195097727,0.01795991358041173
MLP with LDA,hamming_loss,0.5455399061032863,0.0045999807376209895
MLP with LDA,auc,0.5813696976233921,0.0
MLP with BERT,balanced_accuracy,0.5426649812692159,0.027340611951452785
MLP with BERT,precision,0.5992789720335508,0.02001525988954604
MLP with BERT,recall,0.6014084507042254,0.023772749110182484
MLP with BERT,f1,0.5986660402835253,0.021930103999750185
MLP with BERT,hamming_loss,0.39859154929577467,0.023772749110182463
MLP with BERT,auc,0.8172131517581033,0.0
MLP with RoBERTa,balanced_accuracy,0.5442879689862635,0.019816115627296474
MLP with RoBERTa,precision,0.6006855185221683,0.023110745027070757
MLP with RoBERTa,recall,0.6089201877934272,0.022544990053601815
MLP with RoBERTa,f1,0.6029814753010054,0.022272510442303682
MLP with RoBERTa,hamming_loss,0.3910798122065728,0.02254499005360183
MLP with RoBERTa,auc,0.8225946918552377,0.0
MLP with Dependency Parsing,balanced_accuracy,0.42413310987737807,0.019201475852839614
MLP with Dependency Parsing,precision,0.4814492772461495,0.01667177437253684
MLP with Dependency Parsing,recall,0.5197183098591548,0.011364993837474403
MLP with Dependency Parsing,f1,0.48806658480903364,0.015124441598463623
MLP with Dependency Parsing,hamming_loss,0.4802816901408451,0.011364993837474354
MLP with Dependency Parsing,auc,0.7291595233903629,0.0
