,,mean,std
NB with TF-IDF,balanced_accuracy,0.45140308222597697,0.010481997517858546
NB with TF-IDF,precision,0.5431055196685832,0.016413623519539514
NB with TF-IDF,recall,0.4333333333333334,0.015753954681279353
NB with TF-IDF,f1,0.44515945593450157,0.016544845276973374
NB with TF-IDF,hamming_loss,0.5666666666666667,0.01575395468127935
NB with TF-IDF,auc,0.6513010770034683,0.0
NB with BoW,balanced_accuracy,0.44791009256931946,0.008810660922645258
NB with BoW,precision,0.5463365854533782,0.011889706699521427
NB with BoW,recall,0.4295774647887324,0.014846373991400843
NB with BoW,f1,0.4409408174886541,0.01582925564679435
NB with BoW,hamming_loss,0.5704225352112676,0.014846373991400822
NB with BoW,auc,0.6521924970234306,0.0
NB with Word2Vec,balanced_accuracy,0.42476465047346357,0.027624549847985836
NB with Word2Vec,precision,0.4801635372332503,0.03337026333030903
NB with Word2Vec,recall,0.5070422535211268,0.02506356397190447
NB with Word2Vec,f1,0.4804781066724577,0.027116039446883098
NB with Word2Vec,hamming_loss,0.4929577464788732,0.025063563971904495
NB with Word2Vec,auc,0.7045764573073492,0.0
NB with GloVe,balanced_accuracy,0.455414814677208,0.020753386297544796
NB with GloVe,precision,0.48980746110413415,0.019014685049991088
NB with GloVe,recall,0.5089201877934272,0.013394687903931534
NB with GloVe,f1,0.4894448684090781,0.0177646352261649
NB with GloVe,hamming_loss,0.4910798122065728,0.01339468790393156
NB with GloVe,auc,0.7394948003079445,0.0
NB with FastText,balanced_accuracy,0.46131599767025167,0.020237006883684898
NB with FastText,precision,0.5115161450604067,0.019334539678457604
NB with FastText,recall,0.5333333333333334,0.014876037105873109
NB with FastText,f1,0.508872768333169,0.01626223325529834
NB with FastText,hamming_loss,0.4666666666666667,0.014876037105873098
NB with FastText,auc,0.7318760187932337,0.0
"NB with N-grams (2,4)",balanced_accuracy,0.48468274896235214,0.013431960285254944
"NB with N-grams (2,4)",precision,0.5429082106626559,0.011076888172079134
"NB with N-grams (2,4)",recall,0.5408450704225353,0.012024646455272939
"NB with N-grams (2,4)",f1,0.5347157875570537,0.010640793705919763
"NB with N-grams (2,4)",hamming_loss,0.4591549295774648,0.012024646455272963
"NB with N-grams (2,4)",auc,0.676808975016133,0.0
NB with LSA,balanced_accuracy,0.4453649549872337,0.03447786801491678
NB with LSA,precision,0.4928033599707213,0.0349648797046048
NB with LSA,recall,0.463849765258216,0.023828314629952156
NB with LSA,f1,0.4691757180388584,0.024833267054200952
NB with LSA,hamming_loss,0.536150234741784,0.023828314629952135
NB with LSA,auc,0.7016591971889838,0.0
NB with LDA,balanced_accuracy,0.3361324531002654,0.022486876668980936
NB with LDA,precision,0.35516534369681463,0.008207523008631977
NB with LDA,recall,0.33192488262910796,0.016836076128677095
NB with LDA,f1,0.320600000085219,0.015729636897519682
NB with LDA,hamming_loss,0.668075117370892,0.01683607612867711
NB with LDA,auc,0.5708569701427008,0.0
NB with BERT,balanced_accuracy,0.5282243475644292,0.013967756261778354
NB with BERT,precision,0.5786790224897781,0.01643422134190335
NB with BERT,recall,0.5746478873239437,0.02228934736238348
NB with BERT,f1,0.5734137867263553,0.01831680472986305
NB with BERT,hamming_loss,0.4253521126760563,0.022289347362383524
NB with BERT,auc,0.7934452798374394,0.0
NB with RoBERTa,balanced_accuracy,0.5286154639893808,0.028170318260786885
NB with RoBERTa,precision,0.575775054897775,0.024837331844598323
NB with RoBERTa,recall,0.5596244131455399,0.028849373700914956
NB with RoBERTa,f1,0.5606625937525419,0.02640597858571685
NB with RoBERTa,hamming_loss,0.4403755868544601,0.028849373700914956
NB with RoBERTa,auc,0.7863747911235619,0.0
NB with Dependency Parsing,balanced_accuracy,0.322821103498036,0.016215284708812498
NB with Dependency Parsing,precision,0.44143087276590415,0.04816125867028016
NB with Dependency Parsing,recall,0.2356807511737089,0.012823004961265408
NB with Dependency Parsing,f1,0.1713878536351247,0.02974296563279419
NB with Dependency Parsing,hamming_loss,0.7643192488262911,0.012823004961265419
NB with Dependency Parsing,auc,0.6078880028031008,0.0
