,,mean,std
SVM with TF-IDF,balanced_accuracy,0.515405001347254,0.01006639123029953
SVM with TF-IDF,precision,0.5927097320629159,0.012325311009795125
SVM with TF-IDF,recall,0.604225352112676,0.01220657276995308
SVM with TF-IDF,f1,0.5850878628350632,0.010490136030413348
SVM with TF-IDF,hamming_loss,0.39577464788732397,0.012206572769953052
SVM with TF-IDF,auc,0.810976046946035,0.0
SVM with BoW,balanced_accuracy,0.5399077865650364,0.009515822988721797
SVM with BoW,precision,0.58629096363613,0.0072144219480123626
SVM with BoW,recall,0.5938967136150234,0.007423186995700443
SVM with BoW,f1,0.5878567654604475,0.007446160535651002
SVM with BoW,hamming_loss,0.4061032863849765,0.007423186995700408
SVM with BoW,auc,0.8152132328926254,0.0
SVM with Word2Vec,balanced_accuracy,0.48609585653901777,0.024347082280457937
SVM with Word2Vec,precision,0.5829503379560986,0.027985166357930424
SVM with Word2Vec,recall,0.5920187793427231,0.023209778580860624
SVM with Word2Vec,f1,0.5616472800515212,0.02449932638696595
SVM with Word2Vec,hamming_loss,0.407981220657277,0.02320977858086061
SVM with Word2Vec,auc,0.8008906004050249,0.0
SVM with GloVe,balanced_accuracy,0.4879886829274726,0.018164026285143305
SVM with GloVe,precision,0.5680325213609703,0.0130462797179498
SVM with GloVe,recall,0.5868544600938967,0.012942768781305375
SVM with GloVe,f1,0.560280963253203,0.015599316764064506
SVM with GloVe,hamming_loss,0.4131455399061032,0.012942768781305373
SVM with GloVe,auc,0.8008647430281285,0.0
SVM with FastText,balanced_accuracy,0.3956261168318614,0.01993727459143099
SVM with FastText,precision,0.5614130350867892,0.03618714483964117
SVM with FastText,recall,0.5413145539906103,0.017415246000930897
SVM with FastText,f1,0.46948409551568027,0.020094992513284816
SVM with FastText,hamming_loss,0.4586854460093897,0.01741524600093089
SVM with FastText,auc,0.7953319494629754,0.0
"SVM with N-gram (2,4)",balanced_accuracy,0.46320228948869213,0.02805244472853288
"SVM with N-gram (2,4)",precision,0.5295170009266319,0.018277500941155406
"SVM with N-gram (2,4)",recall,0.5051643192488263,0.01331215669366931
"SVM with N-gram (2,4)",f1,0.5108712132804321,0.014337317701760435
"SVM with N-gram (2,4)",hamming_loss,0.4948356807511737,0.013312156693669313
"SVM with N-gram (2,4)",auc,0.7622345594965086,0.0
SVM with LSA,balanced_accuracy,0.45290769340797865,0.022941529435048694
SVM with LSA,precision,0.5611381579871517,0.017846692002073263
SVM with LSA,recall,0.568075117370892,0.017249927766078695
SVM with LSA,f1,0.5305173097341103,0.02087192324755773
SVM with LSA,hamming_loss,0.431924882629108,0.017249927766078713
SVM with LSA,auc,0.784818376741594,0.0
SVM with LDA,balanced_accuracy,0.25211236133386794,0.0031568759172388755
SVM with LDA,precision,0.2401772627155186,0.04594452777564407
SVM with LDA,recall,0.4516431924882629,0.0023939058749262005
SVM with LDA,f1,0.2846736880104356,0.006112659959415778
SVM with LDA,hamming_loss,0.5483568075117371,0.002393905874926194
SVM with LDA,auc,0.5709044369613397,0.0
SVM with BERT,balanced_accuracy,0.5233587467532175,0.020034743061881608
SVM with BERT,precision,0.5811480186003439,0.017228493989320727
SVM with BERT,recall,0.5887323943661972,0.018267677425674863
SVM with BERT,f1,0.582286122916775,0.01799901876435164
SVM with BERT,hamming_loss,0.4112676056338028,0.018267677425674863
SVM with BERT,auc,0.8157084482182422,0.0
SVM with RoBERTa,balanced_accuracy,0.566755490471216,0.015903913544333535
SVM with RoBERTa,precision,0.6216314502820774,0.015599221697976628
SVM with RoBERTa,recall,0.6314553990610329,0.012597566070421342
SVM with RoBERTa,f1,0.6233993321050534,0.013649505302098151
SVM with RoBERTa,hamming_loss,0.3685446009389671,0.012597566070421362
SVM with RoBERTa,auc,0.8442451673603081,0.0
SVM with Dependency Parsing,balanced_accuracy,0.3982701441124074,0.018495241690820143
SVM with Dependency Parsing,precision,0.49413891949130617,0.022527414522722784
SVM with Dependency Parsing,recall,0.5230046948356808,0.00858012529694697
SVM with Dependency Parsing,f1,0.4675940641291203,0.017487267615735092
SVM with Dependency Parsing,hamming_loss,0.4769953051643193,0.00858012529694698
SVM with Dependency Parsing,auc,0.739781077932373,0.0
